ID	Entorno	Pregunta	Perfil	Rep	Respuesta (extracto)	Categoria	Duracion_ms	Tu Valoracion
BC01-V1	widget	¿Cuánto cuesta la app y qué planes de precio tiene?	visitante	1	anes de precio tiene?08:53¡Claro! Tenemos diferentes paquetes adaptados a cada tipo de evento. Un asesor personalizado revisará tu consulta y te enviará un presupuesto detallado muy pronto. ¿Tienes ya	comercial	6140	
BC01-V2	widget	¿Cuánto cuesta la app y qué planes de precio tiene?	visitante	2	anes de precio tiene?08:53@keyframes bounce{0%,60%,100%{transform:translateY(0)}30%{transform:translateY(-5px)}}@keyframes spin{to{transform:rotate(360deg)}}Powered by Bodas de Hoy ❤️	comercial	6085	
BC01-R1	chat-ia	¿Cuánto cuesta la app y qué planes de precio tiene?	registrado	1	[ERROR: input no visible]	error	36	
BC01-R2	chat-ia	¿Cuánto cuesta la app y qué planes de precio tiene?	registrado	2	[ERROR: input no visible]	error	14	
BC01-R3	chat-ia	¿Cuánto cuesta la app y qué planes de precio tiene?	registrado	3	[ERROR: input no visible]	error	85	
BC02-R1	chat-ia	¿Qué funciones tiene la app para organizar una boda?	registrado	1	[ERROR: input no visible]	error	50	
BC02-R2	chat-ia	¿Qué funciones tiene la app para organizar una boda?	registrado	2	[ERROR: input no visible]	error	116	
BC02-R3	chat-ia	¿Qué funciones tiene la app para organizar una boda?	registrado	3	[ERROR: input no visible]	error	9	
BC03-R1	chat-ia	¿Cuántos invitados tengo en mi boda?	registrado	1	[ERROR: input no visible]	error	3	
BC03-R2	chat-ia	¿Cuántos invitados tengo en mi boda?	registrado	2	[ERROR: input no visible]	error	7	
BC03-R3	chat-ia	¿Cuántos invitados tengo en mi boda?	registrado	3	[ERROR: input no visible]	error	8	
BC01-V1	widget	¿Cuánto cuesta la app y qué planes de precio tiene?	visitante	1	anes de precio tiene?09:14¡Claro! Tenemos diferentes paquetes adaptados a cada tipo de evento. Un asesor personalizado revisará tu consulta y te enviará un presupuesto detallado muy pronto. ¿Tienes ya	comercial	5773	
BC01-R1	chat-ia	¿Cuánto cuesta la app y qué planes de precio tiene?	registrado	1	anes de precio tiene?Synced09:15:15Back to bottomEscribe tu mensaje, Press  to insert a line break...{"@context":"https://schema.org","@graph":[{"@id":"https://eventosorganizador.com/#website","@type"	comercial	9269	
