opName,kind,domain,clientGraphql,target,apiMcpName,status,mismatchReason,proposedFix
"updateActivity","mutation","Actividades","mutation ($args:inputActivity){ updateActivity(args:$args) }","api-mcp","updateActivityV2","alias","Schema apiapp(args:inputActivity!) === api-mcp updateActivityV2(args:inputActivity!) — wrapper compat","Cliente: renombrar `updateActivity` → `updateActivityV2` en Fetching.ts (misma estructura args)"
"updateActivityLink","mutation","Actividades","mutation ($args:inputActivityLink){ updateActivityLink(args:$args) }","api-mcp","updateActivityLink","exact","","Sin cambio (api-mcp tiene la firma idéntica via apiapp compat)"
"addCompartition","mutation","Compartir evento (permisos)","mutation($args:inputCompartition){ addCompartition(args:$args){ compartido_array detalles_compartidos_array{ email uid permissions{ title value } createdAt updatedAt } } }","api-mcp","addCompartition","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"deleteCompartition","mutation","Compartir evento (permisos)","mutation($args:inputCompartition){ deleteCompartition(args:$args) }","api-mcp","deleteCompartition","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"updateCompartition","mutation","Compartir evento (permisos)","mutation($args:inputCompartition){ updateCompartition(args:$args) }","api-mcp","updateCompartition","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"createEmailTemplate","mutation","Email Templates","mutation($evento_id:String, $design:JSON, $configTemplate:inputCongigTemplate, $html:String){ createEmailTemplate(evento_id:$evento_id, design:$design, configTemplate:$configTemplate, html:$html){ _id createdAt updatedAt } }","api-mcp","createEmailTemplate","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"deleteEmailTemplate","mutation","Email Templates","mutation($evento_id:String, $template_id:String){ deleteEmailTemplate(evento_id:$evento_id, template_id:$template_id) }","api-mcp","deleteEmailTemplate","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"getEmailTemplate","query","Email Templates","query ($template_id:String){ getEmailTemplate(template_id:$template_id){ design } }","api-mcp","getEmailTemplate","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"getEmailValid","query","Email Templates","query ($email :String){ getEmailValid(email:$email){ valid validators{ regex{ valid, reason } typo{ valid, reason } disposable{ valid, reason } mx{ valid, reason } smtp{ valid, reason } } reason } }","api-mcp-MISSING","","missing","No existe en api-mcp typeDefs (verificado SSH /var/www/api-production/src/graphql/typeDefs/)","Backend debe implementar en api-mcp · o decidir si deprecar callsite cliente"
"getPreviewsEmailTemplates","query","Email Templates","query ($evento_id:String){ getPreviewsEmailTemplates(evento_id:$evento_id){ _id configTemplate{ name subject } preview createdAt updatedAt } }","api-mcp","getPreviewsEmailTemplates","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"getVariableEmailTemplate","query","Email Templates","query ($template_id:String, $selectVariable:String){ getVariableEmailTemplate(template_id:$template_id, selectVariable:$selectVariable){ _id configTemplate{ name subject } preview html design createdAt updatedAt } }","api-mcp-MISSING","","missing","No existe en api-mcp typeDefs (verificado SSH /var/www/api-production/src/graphql/typeDefs/)","Backend debe implementar en api-mcp · o decidir si deprecar callsite cliente"
"updateEmailTemplate","mutation","Email Templates","mutation($evento_id:String, $template_id:String, $design:JSON, $configTemplate:inputCongigTemplate, $html:String){ updateEmailTemplate(evento_id:$evento_id, template_id:$template_id, design:$design, configTemplate:$configTemplate, html:$html) }","api-mcp","updateEmailTemplate","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"borrarEvento","mutation","Eventos","mutation ($eventoID : String!) { borrarEvento(evento_id:$eventoID){ modificado } }","api-mcp","borrarEvento","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"crearEvento","mutation","Eventos","mutation ( $nombre: String, $tipo: String!, $fecha: String, $pais: String, $poblacion: String, $usuario_id: String! $usuario_nombre: String! $timeZone: String, $development: String! ){ crearEvento( nombre: $nombre, tipo: $tipo, fecha: $fecha, pais: $pais, poblacion: $poblacion, usuario_id: $usuario_id, usuario_nombre: $usuario_nombre, timeZone: $timeZone, development: $development ){ _id grupos_array compartido_array detalles_compartidos_array{ email uid","api-mcp","crearEvento","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"editEvento","mutation","Eventos","mutation($evento_id: String!, $variable_reemplazar: String, $valor_reemplazar: String){ editEvento( evento_id:$evento_id variable_reemplazar:$variable_reemplazar valor_reemplazar:$valor_reemplazar ){ _id listaRegalos } }","api-mcp","editEvento","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"editEvento","mutation","Eventos","mutation ($idEvento: String!, $variable:String, $value : String){ editEvento( evento_id: $idEvento, variable_reemplazar: $variable, valor_reemplazar: $value ){ _id } }","api-mcp","editEvento","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"getEventTicket","query","Eventos","query ( $args:inputEventTicket, $sort:sortCriteriaEventTicket, $skip:Int, $limit:Int ) { getEventTicket(args:$args, sort:$sort, skip:$skip, limit:$limit ){ total results{ _id title createdAt updatedAt } } }","api-mcp-MISSING","","missing","No existe en api-mcp typeDefs (verificado SSH /var/www/api-production/src/graphql/typeDefs/)","Backend debe implementar en api-mcp · o decidir si deprecar callsite cliente"
